score,Pr1,Pr2,Pr3,Pr4,Mi1,Mi2,Mi3,Mi4,Mi5,Mi6,Mi7,Po1,Po2,Po3,Po4,Po5,Po6,Po7,Po8,Po9,Po10
92,3,1,3,3,2,15,11,4,5,17,5,3,3,3,2,4,6,3,0,9,3
92,3,2,3,3,2,10,13,5,6,21,3,,,,,,,,,,
96,2,3,3,3,2,15,12,3,4,21,4,3,3,2,2,5,5,2,3,11,5
96,4,3,3,3,2,10,14,5,4,19,5,,,,,,,,,,
92,3,1,2,3,3,13,15,5,6,12,4,,,,,,,,,,
97,3,1,2,3,3,18,18,2,4,16,5,3,3,3,2,5,3,2,0,6,3
96,4,2,2,2,2,18,8,4,6,36,4,,,,,,,,,,
95,5,1,2,2,2,13,13,5,6,15,5,,,,,,,,,,
96,3,1,2,3,3,14,11,3,5,16,5,,,,,,,,,,
96,4,1,3,2,3,15,13,5,5,17,5,2,3,3,2,7,3,3,3,9,5
98,2,1,2,2,3,8,12,4,4,12,5,2,3,3,3,3,4,3,1,9,7
98,3,2,3,3,2,13,12,4,6,12,5,3,3,3,3,1,4,2,3,9,5
92,4,1,2,2,2,13,13,4,6,12,5,3,3,2,1,3,6,1,2,9,3
97,4,2,3,3,2,10,13,5,6,14,5,3,3,2,2,4,5,3,4,9,5
99,3,1,3,3,3,12,10,5,5,15,5,3,3,3,2,5,5,5,4,9,5
94,4,3,2,3,3,15,13,4,6,21,5,3,3,2,2,3,3,2,2,3,1
97,3,2,2,3,2,11,13,4,2,19,5,3,3,2,2,4,6,5,4,9,3
73,6,4,1,2,,,,,,,,2,3,2,1,1,1,1,2,5,3
92,4,3,3,3,,,,,,,,3,3,2,2,6,6,3,3,4,5
94,4,3,2,3,2,15,14,5,6,9,5,3,3,2,2,4,6,1,4,9,5
92,3,3,2,3,2,13,14,4,3,13,4,3,3,2,2,4,4,3,2,9,5
95,3,2,2,3,,,,,,,,3,3,2,2,7,6,5,4,9,5
84,6,3,2,3,3,15,14,5,5,21,5,3,2,2,3,7,6,5,3,9,5
92,4,2,3,3,3,15,13,5,5,19,5,2,3,3,2,7,5,2,4,9,5
92,6,2,3,3,3,14,13,5,6,13,4,2,3,2,2,6,5,2,3,4,5
94,3,2,2,3,3,13,13,5,4,17,5,,,,,,,,,,
91,4,3,3,3,,,,,,,,3,2,2,2,2,4,5,3,9,4
86,3,2,2,3,2,9,13,4,3,19,5,2,3,2,2,6,6,3,4,9,3
87,2,3,2,3,3,12,9,5,6,25,4,,,,,,,,,,
91,3,3,2,3,2,8,13,4,5,12,4,2,3,2,2,2,5,2,3,14,3
89,,,,,1,7,8,3,4,6,4,2,2,3,1,4,5,3,1,9,5
90,2,2,2,3,3,12,12,4,6,15,4,3,3,2,2,5,6,5,4,12,5
90,6,4,2,2,3,11,13,5,6,20,5,3,1,2,2,5,6,4,4,9,5
92,2,2,2,2,1,15,13,4,6,13,4,2,2,1,2,3,3,2,3,4,5
87,2,2,1,2,2,15,13,4,6,27,3,2,3,2,2,2,3,2,3,9,5
78,6,1,3,3,,,,,,,,3,3,2,3,7,5,4,4,9,5
89,4,3,1,1,2,17,12,5,6,13,4,3,1,2,2,4,3,2,4,9,5
92,3,3,1,1,2,18,12,3,5,21,4,3,3,2,2,4,3,2,3,9,3
92,3,3,1,1,2,15,12,5,6,15,5,3,1,2,2,2,2,2,1,9,5
92,3,3,3,3,2,14,15,4,5,24,3,3,3,1,2,3,5,3,1,7,5
69,4,2,4,3,3,8,11,5,4,24,4,,,,,,,,,,
94,5,2,4,3,2,14,12,5,6,15,5,3,3,2,3,5,4,2,3,9,5
95,4,1,2,3,1,14,14,4,4,18,4,3,3,2,2,3,3,2,4,9,3
92,6,3,3,3,3,13,11,5,6,16,5,2,3,2,3,3,6,5,3,11,5
89,4,2,2,3,2,12,14,4,6,28,4,1,3,2,2,5,3,1,3,9,5
70,4,2,2,2,2,15,17,3,3,19,4,3,3,3,2,2,3,2,3,8,3
92,4,3,2,1,2,15,12,5,4,17,5,3,2,2,3,7,6,3,4,9,5
87,2,2,2,2,2,21,6,5,4,26,4,2,3,2,2,5,2,1,1,9,7
91,3,2,3,2,2,18,11,5,4,27,3,2,2,2,2,4,3,2,1,9,3
70,2,2,2,2,2,15,15,3,3,21,5,1,1,1,2,1,1,1,2,3,2
93,5,2,3,3,3,13,13,5,5,21,5,2,3,3,2,3,3,3,3,9,5
91,4,2,2,3,3,14,11,5,4,16,5,3,3,3,2,6,4,4,4,5,5
91,3,2,2,3,2,14,14,5,6,17,4,3,2,2,2,6,6,3,4,9,5
88,6,3,1,3,3,15,15,5,6,18,5,3,3,3,3,6,5,5,4,5,5
81,6,3,2,3,2,14,13,4,6,18,4,3,3,2,3,7,5,3,4,12,5
92,5,3,2,3,2,14,13,4,6,12,5,3,3,2,2,7,6,3,4,9,3
93,5,1,3,3,3,15,13,5,5,16,5,3,3,2,3,7,6,3,4,9,5
89,4,1,3,3,3,13,14,4,6,15,3,3,1,3,2,5,4,3,3,9,3
92,3,2,2,3,2,10,14,4,6,13,5,2,3,2,2,4,3,2,4,9,5
92,5,2,2,3,2,11,13,3,6,15,5,2,3,2,2,3,3,3,1,4,3
89,2,1,2,2,2,13,12,3,6,10,5,3,3,2,2,4,3,2,4,2,3
88,4,1,2,3,3,15,15,5,5,21,5,2,3,3,2,7,6,5,4,9,3
84,6,3,3,3,3,12,13,2,6,19,3,3,3,2,1,2,4,2,3,9,3
91,3,3,2,2,2,13,12,4,5,21,4,3,2,2,2,4,3,3,3,4,5
94,6,2,4,3,3,12,14,5,6,15,5,3,3,3,3,5,6,3,4,9,5
94,6,4,2,3,3,11,13,5,6,13,5,3,3,3,3,5,6,4,4,9,5
92,4,2,2,3,3,9,10,5,6,16,5,3,3,3,2,2,3,2,4,9,5
86,3,1,2,3,2,6,13,4,4,19,4,2,2,3,2,6,4,2,3,9,3
91,2,2,2,3,3,3,9,5,5,19,5,2,2,2,3,4,5,3,4,9,5
94,5,4,2,3,3,14,13,5,6,21,5,3,3,2,2,5,5,3,4,9,5
91,4,3,3,3,2,13,6,3,6,15,5,3,3,2,2,5,2,1,3,9,3
90,5,3,3,3,2,15,13,3,6,16,4,3,3,3,2,4,3,3,4,9,3
80,3,2,2,3,2,11,9,3,5,14,4,3,3,2,2,3,4,2,4,4,5
86,2,2,3,3,2,15,15,5,6,14,5,2,3,3,2,6,4,2,0,9,5
91,2,2,2,3,1,11,13,4,6,14,2,2,3,2,1,4,4,1,1,5,5
88,2,1,2,3,3,15,12,4,5,17,3,2,3,3,2,1,2,1,3,5,2
91,4,3,2,3,3,14,13,5,3,13,5,3,3,3,3,1,6,5,4,4,5
91,3,2,2,3,2,15,8,4,6,18,5,2,3,2,2,1,2,1,2,9,2
93,3,2,2,2,2,15,15,5,5,11,4,2,2,3,2,5,6,3,0,9,3
